127.0.0.1 - - [15/Nov/2014:12:36:22 +0000] "GET / HTTP/1.1" 404 955
0:0:0:0:0:0:0:1 - - [15/Nov/2014:12:36:25 +0000] "GET /TablePractice/faces/login.xhtml HTTP/1.1" 200 1686
0:0:0:0:0:0:0:1 - - [15/Nov/2014:12:36:33 +0000] "POST /TablePractice/faces/login.xhtml;jsessionid=968B1C0307B99DC6881DCC00FE9E9CED HTTP/1.1" 200 1951
0:0:0:0:0:0:0:1 - - [15/Nov/2014:12:36:35 +0000] "POST /TablePractice/faces/login.xhtml HTTP/1.1" 200 4295
0:0:0:0:0:0:0:1 - - [15/Nov/2014:12:36:58 +0000] "POST /TablePractice/faces/index.xhtml HTTP/1.1" 200 4742
0:0:0:0:0:0:0:1 - - [15/Nov/2014:12:37:24 +0000] "POST /TablePractice/faces/index.xhtml HTTP/1.1" 200 5032
0:0:0:0:0:0:0:1 - - [15/Nov/2014:15:02:47 +0000] "POST /TablePractice/faces/index.xhtml HTTP/1.1" 200 5285
0:0:0:0:0:0:0:1 - - [15/Nov/2014:15:02:52 +0000] "POST /TablePractice/faces/index.xhtml HTTP/1.1" 200 5426
0:0:0:0:0:0:0:1 - - [15/Nov/2014:15:02:59 +0000] "POST /TablePractice/faces/index.xhtml HTTP/1.1" 200 5317
