127.0.0.1 - - [22/Nov/2014:09:41:01 +0000] "GET / HTTP/1.1" 404 955
0:0:0:0:0:0:0:1 - - [22/Nov/2014:09:41:04 +0000] "GET /Corrigans/faces/index.xhtml HTTP/1.1" 200 4187
0:0:0:0:0:0:0:1 - - [22/Nov/2014:09:41:25 +0000] "GET /Corrigans/faces/index.xhtml HTTP/1.1" 200 4187
0:0:0:0:0:0:0:1 - - [22/Nov/2014:09:41:26 +0000] "GET /Corrigans/faces/javax.faces.resource/styles.css?ln=css HTTP/1.1" 200 4592
0:0:0:0:0:0:0:1 - - [22/Nov/2014:09:41:26 +0000] "GET /Corrigans/faces/javax.faces.resource/images/Settings.png HTTP/1.1" 200 1282
0:0:0:0:0:0:0:1 - - [22/Nov/2014:09:41:26 +0000] "GET /Corrigans/faces/javax.faces.resource/images/aboutUs.png HTTP/1.1" 200 1570
0:0:0:0:0:0:0:1 - - [22/Nov/2014:09:41:26 +0000] "GET /Corrigans/faces/javax.faces.resource/images/Cart.png HTTP/1.1" 200 2043
0:0:0:0:0:0:0:1 - - [22/Nov/2014:09:41:26 +0000] "GET /Corrigans/faces/javax.faces.resource/images/HelmLeft.png HTTP/1.1" 200 413065
0:0:0:0:0:0:0:1 - - [22/Nov/2014:09:41:26 +0000] "GET /Corrigans/faces/images/shop.ico HTTP/1.1" 500 2624
0:0:0:0:0:0:0:1 - - [22/Nov/2014:09:41:26 +0000] "GET /Corrigans/faces/javax.faces.resource/images/HelmRight.png HTTP/1.1" 200 406564
0:0:0:0:0:0:0:1 - - [22/Nov/2014:09:41:26 +0000] "GET /Corrigans/faces/images/shop.ico HTTP/1.1" 500 1866
0:0:0:0:0:0:0:1 - - [22/Nov/2014:09:43:41 +0000] "GET /Corrigans/faces/index.xhtml HTTP/1.1" 200 3791
0:0:0:0:0:0:0:1 - - [22/Nov/2014:09:43:41 +0000] "GET /Corrigans/faces/javax.faces.resource/styles.css?ln=css HTTP/1.1" 200 6109
0:0:0:0:0:0:0:1 - - [22/Nov/2014:09:43:41 +0000] "GET /Corrigans/faces/javax.faces.resource/images/HelmLeft.png HTTP/1.1" 200 413065
0:0:0:0:0:0:0:1 - - [22/Nov/2014:09:43:41 +0000] "GET /Corrigans/faces/javax.faces.resource/images/Cart.png HTTP/1.1" 200 2043
0:0:0:0:0:0:0:1 - - [22/Nov/2014:09:43:41 +0000] "GET /Corrigans/faces/javax.faces.resource/images/Settings.png HTTP/1.1" 200 1282
