0:0:0:0:0:0:0:1 - - [28/Nov/2014:08:37:57 +0000] "GET /TestProject/faces/index.xhtml HTTP/1.1" 200 4261
0:0:0:0:0:0:0:1 - - [28/Nov/2014:08:37:57 +0000] "GET /TestProject/faces/images/shop.ico HTTP/1.1" 500 1866
0:0:0:0:0:0:0:1 - - [28/Nov/2014:08:37:59 +0000] "GET /TestProject/faces/products.xhtml HTTP/1.1" 200 6821
0:0:0:0:0:0:0:1 - - [28/Nov/2014:08:37:59 +0000] "GET /TestProject/faces/images/shop.ico HTTP/1.1" 500 1866
0:0:0:0:0:0:0:1 - - [28/Nov/2014:08:38:01 +0000] "GET /TestProject/faces/basket.xhtml HTTP/1.1" 200 4447
0:0:0:0:0:0:0:1 - - [28/Nov/2014:08:38:01 +0000] "GET /TestProject/faces/images/shop.ico HTTP/1.1" 500 1866
0:0:0:0:0:0:0:1 - - [28/Nov/2014:08:38:05 +0000] "POST /TestProject/faces/basket.xhtml HTTP/1.1" 302 178
0:0:0:0:0:0:0:1 - - [28/Nov/2014:08:38:05 +0000] "GET /TestProject/faces/basket.xhtml HTTP/1.1" 200 4447
0:0:0:0:0:0:0:1 - - [28/Nov/2014:08:38:05 +0000] "GET /TestProject/faces/images/shop.ico HTTP/1.1" 500 1866
0:0:0:0:0:0:0:1 - - [28/Nov/2014:08:38:06 +0000] "POST /TestProject/faces/basket.xhtml HTTP/1.1" 302 178
0:0:0:0:0:0:0:1 - - [28/Nov/2014:08:38:06 +0000] "GET /TestProject/faces/basket.xhtml HTTP/1.1" 200 4447
0:0:0:0:0:0:0:1 - - [28/Nov/2014:08:38:06 +0000] "GET /TestProject/faces/images/shop.ico HTTP/1.1" 500 1866
0:0:0:0:0:0:0:1 - - [28/Nov/2014:08:38:07 +0000] "POST /TestProject/faces/basket.xhtml HTTP/1.1" 302 178
0:0:0:0:0:0:0:1 - - [28/Nov/2014:08:38:07 +0000] "GET /TestProject/faces/basket.xhtml HTTP/1.1" 200 4447
0:0:0:0:0:0:0:1 - - [28/Nov/2014:08:38:07 +0000] "GET /TestProject/faces/images/shop.ico HTTP/1.1" 500 1866
0:0:0:0:0:0:0:1 - - [28/Nov/2014:08:38:23 +0000] "POST /TestProject/faces/basket.xhtml HTTP/1.1" 302 178
0:0:0:0:0:0:0:1 - - [28/Nov/2014:08:38:23 +0000] "GET /TestProject/faces/basket.xhtml HTTP/1.1" 200 4447
0:0:0:0:0:0:0:1 - - [28/Nov/2014:08:38:23 +0000] "GET /TestProject/faces/images/shop.ico HTTP/1.1" 500 1866
0:0:0:0:0:0:0:1 - - [28/Nov/2014:08:38:25 +0000] "POST /TestProject/faces/basket.xhtml HTTP/1.1" 302 178
0:0:0:0:0:0:0:1 - - [28/Nov/2014:08:38:25 +0000] "GET /TestProject/faces/basket.xhtml HTTP/1.1" 200 4447
0:0:0:0:0:0:0:1 - - [28/Nov/2014:08:38:25 +0000] "GET /TestProject/faces/images/shop.ico HTTP/1.1" 500 1866
0:0:0:0:0:0:0:1 - - [28/Nov/2014:08:38:26 +0000] "POST /TestProject/faces/basket.xhtml HTTP/1.1" 302 178
0:0:0:0:0:0:0:1 - - [28/Nov/2014:08:38:26 +0000] "GET /TestProject/faces/basket.xhtml HTTP/1.1" 200 4447
0:0:0:0:0:0:0:1 - - [28/Nov/2014:08:38:26 +0000] "GET /TestProject/faces/images/shop.ico HTTP/1.1" 500 1866
0:0:0:0:0:0:0:1 - - [28/Nov/2014:08:38:28 +0000] "GET /TestProject/faces/faq.xhtml HTTP/1.1" 200 5936
0:0:0:0:0:0:0:1 - - [28/Nov/2014:08:38:28 +0000] "GET /TestProject/faces/images/shop.ico HTTP/1.1" 500 1866
0:0:0:0:0:0:0:1 - - [28/Nov/2014:08:38:31 +0000] "GET /TestProject/faces/aboutUs.xhtml HTTP/1.1" 200 4656
0:0:0:0:0:0:0:1 - - [28/Nov/2014:08:38:31 +0000] "GET /TestProject/faces/images/shop.ico HTTP/1.1" 500 1866
0:0:0:0:0:0:0:1 - - [28/Nov/2014:08:38:33 +0000] "GET /TestProject/faces/contact.xhtml HTTP/1.1" 200 4084
0:0:0:0:0:0:0:1 - - [28/Nov/2014:08:38:33 +0000] "GET /TestProject/faces/images/shop.ico HTTP/1.1" 500 1866
0:0:0:0:0:0:0:1 - - [28/Nov/2014:08:38:37 +0000] "GET /TestProject/faces/terms.xhtml HTTP/1.1" 200 7369
0:0:0:0:0:0:0:1 - - [28/Nov/2014:08:38:37 +0000] "GET /TestProject/faces/images/shop.ico HTTP/1.1" 500 1866
